"country_total","pcs_local","pcs_total","methods_unique_ct","segment_length_days","had_social_elites","had_campaigner_violence","had_repressive_violence","cluster_total","class_total","success_goal","success_survival","success_growth","success_total","success_above_avg"
1,0,3,9,30.42,1,0,1,1,1,6,1,2,9,1
1,0,1,9,1.5,0,0,0,1,1,0,1,2,3,0
1,0,3,6,1.5,0,0,1,1,1,0,1,2,3,0
1,0,2,4,10,0,0,0,1,1,0,0,2,2,0
1,0,1,1,1,0,0,1,1,1,3,1,2,6,0
1,0,1,8,10,1,0,0,1,1,0,1,3,4,0
1,0,2,2,35,0,0,0,1,1,5,1,2,8,1
4,0,1,5,30.42,0,0,0,1,1,6,1,3,10,1
1,0,0,2,0.0833333333333333,0,0,0,1,1,6,1,3,10,1
1,0,1,5,6,0,0,0,1,1,3,1,3,7,1
1,1,3,18,60.84,0,0,0,1,1,0,0.5,2,2.5,0
1,0,2,5,30.42,0,0,1,2,1,6,1,2,9,1
1,0,2,9,35,1,0,0,2,1,6,1,3,10,1
4,0,0,3,365,0,0,0,2,1,3,1,2,6,0
1,0,2,6,45.63,1,0,1,1,1,6,1,2,9,1
1,1,1,4,18,0,0,0,2,1,6,1,2,9,1
1,0,1,3,17.5,1,1,1,1,1,6,1,2,9,1
1,0,0,5,182.52,1,0,0,1,1,4,1,3,8,1
1,0,0,6,60.84,0,0,0,1,1,6,1,1,8,1
1,0,2,7,243.36,0,1,1,2,1,2,1,3,6,0
1,1,1,7,304.2,1,0,0,2,1,6,1,3,10,1
1,0,1,9,33,1,0,0,1,1,5,1,2,8,1
1,1,3,7,4,0,0,0,2,1,3,1,1,5,0
1,1,3,4,1.2,0,0,1,2,1,6,1,1,8,1
1,0,1,5,0,0,0,0,2,1,5,1,1,7,1
1,0,1,1,2.5,1,0,0,1,1,4,0.5,2,6.5,0
1,0,0,2,20,0,0,1,1,1,0,0,1,1,0
1,1,2,9,10,0,0,1,2,1,0,1,2,3,0
1,0,0,4,14,0,0,0,2,1,1,1,3,5,0
1,0,0,4,182.52,1,0,0,1,1,1,1,2,4,0
1,0,1,7,3,0,0,0,1,1,2,1,3,6,0
