"country_total","pcs_local","pcs_total","methods_unique_ct","segment_length_days","had_social_elites","had_campaigner_violence","had_repressive_violence","cluster_total","class_total","success_goal","success_survival","success_growth","success_total","success_above_avg"
1,0,1,13,30.42,0,1,1,1,1,1,1,2,4,0
1,0,2,6,0,0,0,0,1,1,0,1,3,4,0
1,0,3,11,55,0,1,0,2,1,5,0,3,8,1
1,0,1,10,182.52,1,0,1,2,1,2,1,2,5,0
1,0,2,12,27,1,1,1,3,1,0,1,3,4,0
1,0,3,21,14,1,0,1,1,1,0,0,3,3,0
1,0,1,8,42,0,0,1,1,1,3,0,2,5,0
1,0,3,6,0,1,0,1,1,1,4,1,3,8,1
1,0,0,6,44,1,1,1,1,1,4,1,3,8,1
1,0,2,3,14.67,0,0,1,2,1,0,1,2,3,0
12,0,0,11,608.4,0,0,0,1,1,3,1,3,7,1
1,0,1,6,30.42,0,1,1,2,1,5,1,3,9,1
1,0,0,10,30.42,0,0,0,1,1,6,1,2,9,1
1,0,1,10,365,0,0,1,3,1,6,1,2,9,1
1,0,2,10,212.94,0,0,1,2,1,4,0.5,2,6.5,0
1,0,0,4,121.68,0,0,1,2,1,5,1,1,7,1
1,1,2,17,730,1,1,0,1,1,6,0.5,2,8.5,1
1,0,1,8,273.78,0,1,0,2,1,6,1,2,9,1
1,0,0,19,76.05,1,0,0,1,1,4,1,3,8,1
1,0,0,4,182.52,0,0,1,1,1,5,1,1,7,1
1,0,1,3,85,0,0,1,2,1,0,1,2,3,0
1,1,2,4,1.33,1,1,0,2,1,6,1,1,8,1
1,0,0,2,0,1,0,1,1,1,5,1,3,9,1
5,0,0,11,365,0,0,0,1,1,6,1,2,9,1
1,0,1,5,182.52,0,1,0,3,1,0,1,2,3,0
1,0,0,4,4,1,0,1,2,1,0,1,3,4,0
1,0,0,6,15,0,0,0,1,1,0,0,1,1,0
1,0,0,5,30.42,0,0,0,1,1,6,1,2,9,1
1,0,1,19,14,1,0,1,2,1,0,1,2,3,0
1,0,1,16,91.26,1,0,1,2,1,0,0.5,2,2.5,0
1,0,1,4,0,0,0,0,1,1,5,1,2,8,1
3,0,0,9,121.68,1,0,0,1,1,4,1,3,8,1
1,0,0,4,45.63,0,0,0,2,1,5,1,1,7,1
1,0,4,11,121.68,0,1,1,2,1,6,1,3,10,1
11,0,1,17,365,1,0,0,1,1,6,1,3,10,1
1,0,3,12,10,1,1,1,3,1,5,0.5,2,7.5,1
1,0,0,8,21,0,1,1,2,1,3,1,2,6,0
1,0,0,4,14,1,0,1,2,1,5,0.5,1,6.5,0
1,1,1,7,121.68,0,0,0,3,1,6,1,1,8,1
2,0,2,6,365,0,0,0,4,1,6,1,3,10,1
1,1,2,8,21,1,0,0,1,1,6,1,2,9,1
1,0,0,2,13,0,0,0,1,1,6,1,1,8,1
1,0,3,9,2920,0,0,0,1,1,6,1,3,10,1
1,0,1,11,2,1,0,0,2,1,1,1,2,4,0
1,1,1,7,121.68,0,0,0,2,1,6,1,2,9,1
1,0,0,8,5,0,1,1,2,1,6,1,3,10,1
1,1,4,7,365,1,0,0,2,1,5,1,3,9,1
1,0,1,11,8,1,0,0,1,1,2,1,3,6,0
1,0,0,13,395.46,0,0,1,2,1,4,1,1,6,0
1,0,2,4,1.5,1,0,0,3,2,4,1,1,6,0
1,0,0,2,13,0,0,0,1,1,4,1,2,7,1
1,0,2,1,0,0,0,0,2,1,1,0,0,1,0
2,0,0,13,730,0,0,0,1,1,0,1,2,3,0
5,0,1,10,304.2,0,0,1,1,1,6,1,3,10,1
1,0,1,12,26,1,0,0,2,1,6,1,3,10,1
1,0,2,16,182.52,0,1,1,2,1,0,1,3,4,0
1,0,0,5,14,0,0,0,1,1,6,1,2,9,1
1,0,2,12,304.2,1,0,0,4,1,6,1,3,10,1
1,0,1,15,6,0,1,1,1,1,0,1,3,4,0
1,0,1,7,319.41,1,0,0,3,1,6,1,2,9,1
1,0,1,12,20,0,1,0,2,1,5,1,2,8,1
1,0,0,15,30.42,1,1,1,1,1,0,1,3,4,0
6,0,1,14,121.68,1,0,0,3,1,6,1,3,10,1
1,0,2,13,12,0,1,1,3,1,2,1,3,6,0
1,0,1,11,91.26,0,0,0,2,1,6,1,3,10,1
1,0,0,16,152.1,1,0,1,2,1,1,1,3,5,0
